Country,Confederation,Emoji
Algeria,CAF,🇦🇱
Argentina,CONMEBOL,🇦🇷
Australia,AFC,🇦🇺
Austria,UEFA,🇦🇹
Belgium,UEFA,🇧🇪
Bosnia and Herzegovina,UEFA,🇧🇦
Brazil,CONMEBOL,🇧🇷
Canada,Concacaf,🇨🇦
Cape Verde,CAF,🇨🇻
Colombia,CONMEBOL,🇨🇴
Congo DR,CAF,🇨🇩
Croatia,UEFA,🇭🇷
Curaçao,Concacaf,🇨🇼
Czechia,UEFA,🇨🇿
Ecuador,CONMEBOL,🇪🇨
Egypt,CAF,🇪🇬
England,UEFA,🏴󠁧󠁢󠁥󠁮󠁧󠁿
France,UEFA,🇫🇷
Germany,UEFA,🇩🇪
Ghana,CAF,🇬🇭
Haiti,Concacaf,🇭🇹
IR Iran,AFC,🇮🇷
Iraq,AFC,🇮🇶
Ivory Coast,CAF,🇨🇮
Japan,AFC,🇯🇵
Jordan,AFC,🇯🇴
Mexico,Concacaf,🇲🇽
Morocco,CAF,🇲🇦
Netherlands,UEFA,🇳🇱
New Zealand,OFC,🇳🇿
Norway,UEFA,🇳🇴
Panama,Concacaf,🇵🇦
Paraguay,CONMEBOL,🇵🇾
Portugal,UEFA,🇵🇹
Qatar,AFC,🇶🇦
Saudi Arabia,AFC,🇸🇦
Scotland,UEFA,🏴󠁧󠁢󠁳󠁣󠁴󠁿
Senegal,CAF,🇸🇳
South Africa,CAF,🇿🇦
South Korea,AFC,🇰🇷
Spain,UEFA,🇪🇸
Sweden,UEFA,🇸🇪
Switzerland,UEFA,🇨🇭
Tunisia,CAF,🇹🇳
Türkiye,UEFA,🇹🇷
USA,Concacaf,🇺🇸
Uruguay,CONMEBOL,🇺🇾
Uzbekistan,AFC,🇺🇿
